output_file,input_files,reproduction_level,note
outputs/figures/supplement/supplementary_figure_06.pdf,data/supplement/figure_06_equivalence/plot_data.csv,frozen analysis-result rendering,Active Supplementary Information design and artboard
outputs/figures/supplement/supplementary_figure_07.pdf,data/supplement/figure_07_joint_model/model_fit.csv; data/supplement/figure_07_joint_model/model_paths.csv,frozen analysis-result rendering,Active Supplementary Information design and artboard
outputs/figures/supplement/supplementary_figure_08.pdf,data/supplement/figure_08_negative_capability/plot_data.csv; data/supplement/figure_08_negative_capability/statistics.csv,frozen analysis-result rendering,Active Supplementary Information design and artboard
outputs/figures/supplement/supplementary_figure_09.pdf,data/supplement/figure_09_aq_benefits/plot_data.csv; data/supplement/figure_09_aq_benefits/statistics.csv,frozen analysis-result rendering,Active Supplementary Information design and artboard
outputs/figures/supplement/supplementary_figure_10.pdf,data/supplement/figure_10_hlm_moderators/guide.csv; data/supplement/figure_10_hlm_moderators/observed.csv; data/supplement/figure_10_hlm_moderators/prediction.csv; data/supplement/figure_10_hlm_moderators/scatter.csv; data/supplement/figure_10_hlm_moderators/term.csv,frozen analysis-result rendering,Active Supplementary Information design and artboard
outputs/figures/supplement/supplementary_figure_11.pdf,data/supplement/figure_11_reliability/panel_a.csv; data/supplement/figure_11_reliability/panel_b.csv; data/supplement/figure_11_reliability/panel_c.csv; data/supplement/figure_11_reliability/panel_d.csv,frozen analysis-result rendering,Active Supplementary Information design and artboard
outputs/tables/supplementary_table_01.tex,data/tables/table01_analysis_populations.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_02.tex,data/tables/table02_visual_task_implementations.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_03.tex,data/tables/table03_age_gender.csv; data/tables/table03_race.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_04.tex,data/n-f-2-to-5-participants.csv,recomputed analysis + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_05.tex,data/n-f-2-to-5-participants.csv; data/tables/table05_active_display.csv,recomputed analysis + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_06.tex,data/n-f-2-to-5-participants.csv,recomputed analysis + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_07.tex,data/n-f-2-to-5-participants.csv,recomputed analysis + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_08.tex,data/n-f-2-to-5-participants.csv; data/tables/table08_joint_model_intervals.csv,recomputed analysis + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_09.tex,data/tables/table09_primary_trajectories.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_10.tex,data/tables/table10_trajectory_sensitivities.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_11.tex,data/tables/table11_trait_moderation.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_12.tex,data/tables/table12_joint_trait_moderation.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_13.tex,data/tables/table13_daily_item_moderation.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_14.tex,data/tables/table14_cross_subcategory_stability.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_15.tex,data/tables/table15_stimulus_taxonomy.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_table_16.tex,data/tables/table16_questionnaire_features.csv,frozen aggregate/result + TeX rendering,Active supplementary table component
outputs/tables/supplementary_inline_01.tex,data/tables/inline01_cross_reference.csv,frozen metadata + TeX rendering,Unnumbered supplementary cross-reference display
outputs/tables/supplementary_inline_02.tex,data/tables/inline02_face_fni_adjusted_joint.csv,frozen result + TeX rendering,Unnumbered Face-FNI robustness display
